epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.159,1.23765,4.21073,1.5754,0.00083,0.5,0.25763,0.17953,2.13185,4.948,2.56062,0.0003125,0.0003125,0.0003125
2,264.412,1.62769,3.95224,2.0727,0.00083,0.5,0.25763,0.17953,2.13185,4.948,2.56062,0.00071112,0.00071112,0.00071112
3,378.955,1.27519,3.86024,1.65321,0.00083,0.5,0.25763,0.17953,2.13185,4.948,2.56062,0.00108911,0.00108911,0.00108911
4,526.342,1.43975,4.27226,1.66354,0.00094,0.5,0.37312,0.12511,2.43515,4.92093,2.75513,0.00115719,0.00115719,0.00115719
5,640.776,1.43871,3.77599,1.84949,0.00094,0.5,0.37312,0.12511,2.43515,4.92093,2.75513,0.00112625,0.00112625,0.00112625
6,762.089,1.43912,3.63161,1.7737,0.00094,0.5,0.37312,0.12511,2.43515,4.92093,2.75513,0.00109531,0.00109531,0.00109531
7,878.392,1.46679,3.92758,1.71515,0.00094,0.5,0.37312,0.12511,2.43515,4.92093,2.75513,0.00106437,0.00106437,0.00106437
8,993.473,1.47445,3.75527,1.7846,0.00093,0.5,0.08516,0.05874,2.73344,4.91645,3.14228,0.00103344,0.00103344,0.00103344
9,1110.25,1.42716,3.04628,1.89937,0.00093,0.5,0.08516,0.05874,2.73344,4.91645,3.14228,0.0010025,0.0010025,0.0010025
10,1216.05,1.57152,3.21488,1.86477,0.00093,0.5,0.08516,0.05874,2.73344,4.91645,3.14228,0.000971562,0.000971562,0.000971562
11,1320.49,1.42869,3.34203,1.79899,0.00093,0.5,0.08516,0.05874,2.73344,4.91645,3.14228,0.000940625,0.000940625,0.000940625
12,1422.31,1.48793,2.86152,1.80897,0.08429,0.75,0.30205,0.11759,2.64704,4.93226,3.12849,0.000909688,0.000909688,0.000909688
13,1531.37,1.18104,2.7448,1.6363,0.08429,0.75,0.30205,0.11759,2.64704,4.93226,3.12849,0.00087875,0.00087875,0.00087875
14,1640.78,1.21219,2.79043,1.65287,0.08429,0.75,0.30205,0.11759,2.64704,4.93226,3.12849,0.000847813,0.000847813,0.000847813
15,1744,1.50359,2.88279,1.82627,0.08429,0.75,0.30205,0.11759,2.64704,4.93226,3.12849,0.000816875,0.000816875,0.000816875
16,1841.14,1.43654,2.95874,1.85233,0.001,0.5,0.01633,0.00354,2.76597,5.04341,3.14284,0.000785938,0.000785938,0.000785938
17,1940.33,1.3009,2.77402,1.7339,0.001,0.5,0.01633,0.00354,2.76597,5.04341,3.14284,0.000755,0.000755,0.000755
18,2046.58,1.43322,2.90429,1.95477,0.001,0.5,0.01633,0.00354,2.76597,5.04341,3.14284,0.000724062,0.000724062,0.000724062
19,2148.18,1.2205,2.53139,1.63037,0.00092,0.5,0.02463,0.00688,2.79876,4.94898,3.09463,0.000693125,0.000693125,0.000693125
20,2240.86,1.17279,2.46488,1.5325,0.00092,0.5,0.02463,0.00688,2.79876,4.94898,3.09463,0.000662188,0.000662188,0.000662188
21,2338.91,1.15572,2.56697,1.48464,0.00092,0.5,0.02463,0.00688,2.79876,4.94898,3.09463,0.00063125,0.00063125,0.00063125
22,2427.27,1.20188,2.39674,1.59128,0.00092,0.5,0.02463,0.00688,2.79876,4.94898,3.09463,0.000600313,0.000600313,0.000600313
23,2517.86,1.12122,2.51697,1.57421,0.11043,0.5,0.27688,0.10458,2.56481,4.51006,2.94446,0.000569375,0.000569375,0.000569375
24,2620.41,1.32398,2.35196,1.77099,0.11043,0.5,0.27688,0.10458,2.56481,4.51006,2.94446,0.000538438,0.000538438,0.000538438
25,2715.33,1.10761,2.25378,1.47035,0.11043,0.5,0.27688,0.10458,2.56481,4.51006,2.94446,0.0005075,0.0005075,0.0005075
26,2812.01,1.13031,2.30971,1.62107,0.11043,0.5,0.27688,0.10458,2.56481,4.51006,2.94446,0.000476562,0.000476562,0.000476562
27,2915.03,1.30966,2.36656,1.71638,0.99074,0.25,0.28173,0.11331,2.56712,4.48283,2.94446,0.000445625,0.000445625,0.000445625
28,3013.38,1.14552,2.05678,1.55257,0.99074,0.25,0.28173,0.11331,2.56712,4.48283,2.94446,0.000414688,0.000414688,0.000414688
29,3101.6,1.17298,2.02689,1.48044,0.99074,0.25,0.28173,0.11331,2.56712,4.48283,2.94446,0.00038375,0.00038375,0.00038375
30,3200.95,1.00394,2.21093,1.42997,0.99074,0.25,0.28173,0.11331,2.56712,4.48283,2.94446,0.000352812,0.000352812,0.000352812
31,3299.91,1.16318,2.52548,1.81168,0.98264,0.25,0.29898,0.14505,2.53381,4.33414,2.79912,0.000321875,0.000321875,0.000321875
32,3395.44,1.07691,2.66244,1.71637,0.98264,0.25,0.29898,0.14505,2.53381,4.33414,2.79912,0.000290937,0.000290937,0.000290937
33,3497.05,1.20189,2.33227,1.71094,0.98264,0.25,0.29898,0.14505,2.53381,4.33414,2.79912,0.00026,0.00026,0.00026
34,3614.96,1.03339,2.19989,1.4715,0.98974,0.25,0.33858,0.16641,2.60613,4.0363,2.88374,0.000229063,0.000229063,0.000229063
35,3765.27,1.04811,2.1264,1.59444,0.98974,0.25,0.33858,0.16641,2.60613,4.0363,2.88374,0.000198125,0.000198125,0.000198125
36,3912.9,0.98737,2.17274,1.52381,0.98974,0.25,0.33858,0.16641,2.60613,4.0363,2.88374,0.000167188,0.000167188,0.000167188
37,4034.23,0.89054,2.13579,1.48179,0.98974,0.25,0.33858,0.16641,2.60613,4.0363,2.88374,0.00013625,0.00013625,0.00013625
38,4162.26,0.94242,1.95763,1.42832,0.98883,0.25,0.39574,0.22297,2.64025,4.0642,2.91142,0.000105312,0.000105312,0.000105312
39,4306.63,0.8618,2.24394,1.31863,0.98883,0.25,0.39574,0.22297,2.64025,4.0642,2.91142,7.4375e-05,7.4375e-05,7.4375e-05
40,4446.22,0.81769,2.10068,1.37648,0.98883,0.25,0.39574,0.22297,2.64025,4.0642,2.91142,4.34375e-05,4.34375e-05,4.34375e-05
